gws_name,consortium
acclim,atpolsci
accord,oceanss
acix,eoclim
acpc,atpolsci
acrg,jwcrp
acsis,atpolsci
acure,atpolsci
aerchemmip,jwcrp
aerosol_cci,eoclim
ales,oceanss
amoc_rapidwatch,atpolsci
aopp,atpolsci
applicate_2019,atpolsci
arsf,eoclim
asci,jwcrp
aspic,eoclim
assist,ecohydro
atsrrepro,eoclim
baci,eoclim
bas_climate,atpolsci
bas_mo_ssa_proto,eoclim
bas_palaeoclim,atpolsci
bas_pog,atpolsci
benchmarks,director
bobble,atpolsci
brave,geology
bto,eoclim
c3s311a_lot2,jwcrp
campus,oceanss
carisma,atpolsci
cccm_socrates,atpolsci
cci_aerosol_su,eoclim
cds_c3s_aerosol,eoclim
cds_c3s_cloud,eoclim
cds_c3s_ghg,eoclim
cds_c3s_ozone,eoclim
cds_c3s_sst,eoclim
ceda_wps,archive
ceh_generic,ecohydro
cehhmf,ecohydro
cis,eoclim
clam,jwcrp
clarify,atpolsci
clifftop,ecohydro
clipc,director
cloud_ecv,eoclim
cmip6_prep,jwcrp
cmip6_track,atpolsci
cosmic,atpolsci
cp4cds,director
cpdn_rapidwatch,atpolsci
cpom,eoclim
crescendo,jwcrp
csgap,atpolsci
cssp_china,jwcrp
dacciwa,jwcrp
dare_uk,atpolsci
defra_eo,director
docile,jwcrp
dynamoc,atpolsci
eddystore,atpolsci
edin_cesd,atpolsci
edinburgh,eoclim
edinchina,director
emep4uk,atpolsci
env_agency,jwcrp
eo_shared_data,eoclim
epsvolcano,atpolsci
esacci_fire,eoclim
esacci_lst,eoclim
esacci_portal,eoclim
esacci_sst,eoclim
esacci_wv,eoclim
esgf,archive
esgf_fedcheck,jwcrp
esgf_repl,jwcrp
esmeval,jwcrp
eurec4auk,atpolsci
eustace,director
eve,atpolsci
exebio,ecohydro
fiduceo,eoclim
fire_impacts,eoclim
forecol,atpolsci
forsea,atpolsci
futureweather,atpolsci
gassp,atpolsci
gaugedecc,atpolsci
gbov,eoclim
geometric,oceanss
geoschem,atpolsci
ghg_edinburgh,eoclim
ghg_leicester,eoclim
glamod_marine,jwcrp
globolakes,eoclim
glosat,eoclim
gotham,atpolsci
greenhouse,ecohydro
grip,atpolsci
higem,jwcrp
higem_nc,jwcrp
himawari8,eoclim
hiresgw,atpolsci
holography,atpolsci
hostace,oceanss
hrcm,jwcrp
htap2,jwcrp
hydro_jules,ecohydro
impala,atpolsci
impetus,atpolsci
incompass,jwcrp
ipcc_ddc,
jdma_cache,transfer-cache
jmmp_colab,oceanss
jules,jwcrp
jules_bd,ecohydro
klingaman,atpolsci
kma_cmip6,jwcrp
launchpad,atpolsci
leicester,eoclim
locate,ecohydro
lspceh,ecohydro
mabl,eoclim
macaque,jwcrp
mo_forecasts,jwcrp
mo_gc3,jwcrp
mod_c6_refl,eoclim
mohc_shared,jwcrp
mohc_test,jwcrp
moya_nerc,atpolsci
name,jwcrp
ncas_aqf,atpolsci
ncas_climate,atpolsci
ncas_cms,atpolsci
ncas_generic,atpolsci
ncas_obs,atpolsci
ncas_radar,atpolsci
ncas_weather,atpolsci
nceo_aerosolfire,eoclim
nceo_generic,eoclim
nceo_geohazards,eoclim
nceo_uor,eoclim
nemo,oceanss
nerc_avmet,eoclim
nexcs,jwcrp
noc_msm,oceanss
noc_wsa,oceanss
northbak,atpolsci
npl_eo,eoclim
nrt_ash,atpolsci
nrt_ecmwf_metop,eoclim
nwpscience,jwcrp
oceansal,eoclim
odanceo,eoclim
odysea,atpolsci
orchestra,atpolsci
oss_gen,oceanss
oxford_es,oceanss
paracon_rdg,atpolsci
perf_testing,director
plioess,atpolsci
pmip4,atpolsci
pml,eoclim
precis,jwcrp
primavera,atpolsci
prise,eoclim
qa4ecv,eoclim
qboi,atpolsci
r4ash,eoclim
ragnarocc,oceanss
raingain,atpolsci
ramoc,atpolsci
rdf_migrate,atpolsci
realproj,atpolsci
recicle,oceanss
requested_data,archive
rsg_reproc_lv1,eoclim
rsg_share,eoclim
rsgnceo,eoclim
scratch,scratch
sgwex,atpolsci
slstr_extraction,eoclim
smurphs,atpolsci
snap,atpolsci
solar,atpolsci
specs,director
srip,director
ssb,oceanss
storycc,atpolsci
swamma,atpolsci
swift,atpolsci
swift_s2stest,atpolsci
tamsat,eoclim
tccon,eoclim
terramaris,atpolsci
test,atpolsci
tictoc,oceanss
tids,jwcrp
tiff,jwcrp
tls,eoclim
tomcat,atpolsci
ukca,atpolsci
ukcp18,jwcrp
ukesm,jwcrp
ukesm_nceo,jwcrp
ukfafmip,oceanss
ukmo_cr,jwcrp
umfula,atpolsci
upscale,jwcrp
v_plus,eoclim
vera,jwcrp
volclim,jwcrp
wavi,atpolsci
wcssp_india,jwcrp
wiser,atpolsci
wmo_ntcp,other
workshop,other
watsitho,ecohydro

